HC,Data de julgamento,Unanimidade,Informacoes,Vencedores,Vencidos,Tipo,Pleito Analisado,NUNES MARQUES,ANDRÉ MENDONÇA,ALEXANDRE DE MORAES,DIAS TOFFOLI,ROBERTO BARROSO,EDSON FACHIN,GILMAR MENDES,CÁRMEN LÚCIA,LUIZ FUX,RICARDO LEWANDOWSKI,ROSA WEBER,MARCO AURÉLIO,CELSO DE MELLO,TEORI ZAVASCKI,JOAQUIM BARBOSA,AYRES BRITTO,CEZAR PELUSO,ELLEN GRACIE,EROS GRAU,MENEZES DIREITO,SEPÚLVEDA PERTENCE
HC 186723,2020-10-05,Sim,,11,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU PREJUDICADA A IMPETRAÇÃO, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 25.9.2020 A 2.10.2020.",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
HC 156652,2020-10-05,Sim,,10,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU PREJUDICADA A IMPETRAÇÃO, NOS TERMOS DO VOTO DO RELATOR. IMPEDIDO O MINISTRO ALEXANDRE DE MORAES. PLENÁRIO, SESSÃO VIRTUAL DE 25.9.2020 A 2.10.2020.",0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
HC 189057 AgR,2020-09-16,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, MINISTRO DIAS TOFFOLI (PRESIDENTE). NÃO PARTICIPOU DESTE JULGAMENTO, POR MOTIVO DE LICENÇA MÉDICA, O MINISTRO CELSO DE MELLO. PLENÁRIO, SESSÃO VIRTUAL DE 4.9.2020 A 14.9.2020 (SESSÃO INICIADA NA PRESIDÊNCIA DO MINISTRO DIAS TOFFOLI E FINALIZADA NA PRESIDÊNCIA DO MINISTRO LUIZ FUX).",0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 186251 AgR,2020-08-24,Não,,9,1,AgR,"O TRIBUNAL, POR MAIORIA, CONHECEU DO AGRAVO REGIMENTAL E NEGOU-LHE PROVIMENTO, NOS TERMOS DO VOTO DA RELATORA, VENCIDO O MINISTRO MARCO AURÉLIO. O MINISTRO GILMAR MENDES ACOMPANHOU A RELATORA COM RESSALVAS. NÃO PARTICIPOU DESTE JULGAMENTO, POR MOTIVO DE LICENÇA MÉDICA, O MINISTRO CELSO DE MELLO. PLENÁRIO, SESSÃO VIRTUAL DE 14.8.2020 A 21.8.2020.",0,0,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0
HC 104159,2020-08-18,Não,Conferir voto do Relator: MARCO AURÉLIO,7,2,Principal," O TRIBUNAL, POR MAIORIA, NÃO CONHECEU DO HABEAS CORPUS, NOS TERMOS DO VOTO DO MINISTRO EDSON FACHIN, REDATOR PARA O ACÓRDÃO, VENCIDOS OS MINISTROS MARCO AURÉLIO (RELATOR) E GILMAR MENDES. NÃO PARTICIPOU DESTE JULGAMENTO O MINISTRO CELSO DE MELLO. IMPEDIDO O MINISTRO RICARDO LEWANDOWSKI. PLENÁRIO, SESSÃO VIRTUAL DE 7.8.2020 A 17.8.2020.",0,0,1,1,1,1,-1,1,1,0,1,-1,0,0,0,0,0,0,0,0,0
HC 117055,2020-08-18,Não,,7,3,Principal,"O TRIBUNAL, POR MAIORIA, REJEITOU A PRELIMINAR SUSCITADA PELA PROCURADORIA-GERAL DA REPÚBLICA E INDEFERIU A ORDEM, ANTE AUSÊNCIA DE ILEGALIDADE, NOS TERMOS DO VOTO DO RELATOR, VENCIDOS OS MINISTROS EDSON FACHIN, ROSA WEBER E ROBERTO BARROSO, QUE NÃO CONHECIAM DO HABEAS CORPUS. NÃO PARTICIPOU DESTE JULGAMENTO O MINISTRO CELSO DE MELLO. PLENÁRIO, SESSÃO VIRTUAL DE 7.8.2020 A 17.8.2020.",0,0,1,1,-1,-1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0,0
HC 178171 ED-AgR-ED,2020-06-29,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, REJEITOU OS EMBARGOS DE DECLARAÇÃO, NOS TERMOS DO VOTO DO RELATOR, MINISTRO DIAS TOFFOLI (PRESIDENTE). PLENÁRIO, SESSÃO VIRTUAL DE 19.6.2020 A 26.6.2020.",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
HC 170401 AgR,2020-06-22,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR. IMPEDIDO O MINISTRO ALEXANDRE DE MORAES. PLENÁRIO, SESSÃO VIRTUAL DE 12.6.2020 A 19.6.2020.",0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
HC 186297,2020-06-22,Sim,,10,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, NÃO CONHECEU DO HABEAS CORPUS, NOS TERMOS DO VOTO DO RELATOR. FALOU, PELO PACIENTE, O DR. LUIZ EDUARDO PENTEADO BORGO. IMPEDIDO O MINISTRO ALEXANDRE DE MORAES. PLENÁRIO, SESSÃO VIRTUAL DE 12.6.2020 A 19.6.2020.",0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
HC 186296,2020-06-22,Não,,9,1,Principal,"O TRIBUNAL, POR MAIORIA, NÃO CONHECEU DO HABEAS CORPUS, NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO MARCO AURÉLIO. IMPEDIDO O MINISTRO ALEXANDRE DE MORAES. PLENÁRIO, SESSÃO VIRTUAL DE 12.6.2020 A 19.6.2020.",0,0,0,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0
HC 170263,2020-06-22,Não,,9,1,Principal,"O TRIBUNAL, POR MAIORIA, NÃO CONHECEU DO HABEAS CORPUS, NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO MARCO AURÉLIO. IMPEDIDO O MINISTRO ALEXANDRE DE MORAES. PLENÁRIO, SESSÃO VIRTUAL DE 12.6.2020 A 19.6.2020.",0,0,0,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0
HC 181680 AgR,2020-05-15,Não,,10,1,AgR,"O TRIBUNAL, POR MAIORIA, CONHECEU DO AGRAVO REGIMENTAL E NEGOU-LHE PROVIMENTO, NOS TERMOS DO VOTO DA RELATORA, VENCIDO PARCIALMENTE O MINISTRO RICARDO LEWANDOWSKI, QUE ADMITIA A IMPETRAÇÃO. O MINISTRO GILMAR MENDES ACOMPANHOU A RELATORA COM RESSALVAS. PLENÁRIO, SESSÃO VIRTUAL DE 8.5.2020 A 14.5.2020.",0,0,1,1,1,1,1,1,1,-1,1,1,1,0,0,0,0,0,0,0,0
HC 181667 AgR,2020-05-11,Não,,6,4,AgR,"O TRIBUNAL, POR MAIORIA, CONHECEU DO AGRAVO REGIMENTAL E NEGOU-LHE PROVIMENTO, NOS TERMOS DO VOTO DA RELATORA, VENCIDOS OS MINISTROS MARCO AURÉLIO E CELSO DE MELLO, QUE PROVIAM O AGRAVO PARA QUE O PROCESSO TENHA REGULAR SEQUÊNCIA; O MINISTRO DIAS TOFFOLI (PRESIDENTE), QUE PROVIA O AGRAVO E DENEGAVA A ORDEM; E O MINISTRO RICARDO LEWANDOWSKI QUE, DIVERGIA EM PARTE, PARA ADMITIR A IMPETRAÇÃO. IMPEDIDO O MINISTRO GILMAR MENDES. PLENÁRIO, SESSÃO VIRTUAL DE 1.5.2020 A 8.5.2020.",0,0,1,-1,1,1,0,1,1,-1,1,-1,-1,0,0,0,0,0,0,0,0
HC 164593 AgR,2020-05-04,Não,,7,4,AgR," O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, VENCIDOS OS MINISTROS GILMAR MENDES E DIAS TOFFOLI, QUE DIVERGIAM TÃO SOMENTE QUANTO À PRELIMINAR, ASSENTANDO O CABIMENTO DE SUSTENTAÇÃO ORAL NOS AGRAVOS REGIMENTAIS EM HABEAS CORPUS NO SUPREMO TRIBUNAL FEDERAL; O MINISTRO MARCO AURÉLIO, QUE PROVIA O RECURSO; E O MINISTRO RICARDO LEWANDOWSKI, QUE DIVERGIA PARCIALMENTE PARA ADMITIR A IMPETRAÇÃO. O MINISTRO CELSO DE MELLO ACOMPANHOU O RELATOR COM RESSALVAS. FALARAM: PELO AGRAVANTE, O DR. ANTÔNIO CLÁUDIO MARIZ DE OLIVEIRA; PELO AMICUS CURIAE ASSOCIAÇÃO DOS ADVOGADOS DE SÃO PAULO - AASP, A DRA. PAULA LIMA HYPPOLITO DOS SANTOS OLIVEIRA; E, PELO AMICUS CURIAE INSTITUTO DE DEFESA DO DIREITO DE DEFESA - IDDD, O DR. MARCELO LEONARDO. PLENÁRIO, SESSÃO VIRTUAL DE 24.4.2020 A 30.4.2020.",0,0,1,-1,1,1,-1,1,1,-1,1,-1,1,0,0,0,0,0,0,0,0
HC 128893,2020-05-04,Sim,,11,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, REJEITOU AS PRELIMINARES SUSCITADAS PELA PROCURADORIA-GERAL DA REPÚBLICA E INADMITIU A ORDEM, ANTE A AUSÊNCIA DE RISCO À LIBERDADE DE LOCOMOÇÃO, NOS TERMOS DO VOTO DO RELATOR. O MINISTRO EDSON FACHIN ACOMPANHOU O RELATOR COM RESSALVAS. PLENÁRIO, SESSÃO VIRTUAL DE 24.4.2020 A 30.4.2020.",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
HC 117281,2020-05-04,Não,,6,5,Principal,"O TRIBUNAL, POR MAIORIA, INDEFERIU A ORDEM, DECLARANDO O PREJUÍZO DO AGRAVO INTERNO PROTOCOLADO, NOS TERMOS DO VOTO DO RELATOR, VENCIDOS OS MINISTROS EDSON FACHIN, CÁRMEN LÚCIA, ROSA WEBER, CELSO DE MELLO E DIAS TOFFOLI (PRESIDENTE). OS MINISTROS ALEXANDRE DE MORAES, GILMAR MENDES, LUIZ FUX E ROBERTO BARROSO ACOMPANHARAM O RELATOR COM RESSALVAS. PLENÁRIO, SESSÃO VIRTUAL DE 24.4.2020 A 30.4.2020.",0,0,1,-1,1,-1,1,-1,1,1,-1,1,-1,0,0,0,0,0,0,0,0
HC 130620,2020-05-04,Não,,8,2,Principal,"O TRIBUNAL, POR MAIORIA, INDEFERIU A ORDEM, NOS TERMOS DO VOTO DO RELATOR, VENCIDOS OS MINISTROS EDSON FACHIN E ROSA WEBER. OS MINISTROS ALEXANDRE DE MORAES, GILMAR MENDES, LUIZ FUX, DIAS TOFFOLI (PRESIDENTE) E ROBERTO BARROSO ACOMPANHARAM O RELATOR COM RESSALVAS. IMPEDIDA A MINISTRA CÁRMEN LÚCIA. PLENÁRIO, SESSÃO VIRTUAL DE 24.4.2020 A 30.4.2020.",0,0,1,1,1,-1,1,0,1,1,-1,1,1,0,0,0,0,0,0,0,0
HC 183018 AgR,2020-04-27,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, MINISTRO DIAS TOFFOLI (PRESIDENTE). PLENÁRIO, SESSÃO VIRTUAL DE 17.4.2020 A 24.4.2020.",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
HC 173259 EI-AgR,2020-04-27,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR. PLENÁRIO, SESSÃO VIRTUAL DE 17.4.2020 A 24.4.2020.",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
HC 176473,2020-04-27,Não,,8,3,Principal," O TRIBUNAL, POR MAIORIA, INDEFERIU A ORDEM DE HABEAS CORPUS E FIXOU A SEGUINTE TESE: ""NOS TERMOS DO INCISO IV DO ARTIGO 117 DO CÓDIGO PENAL, O ACÓRDÃO CONDENATÓRIO SEMPRE INTERROMPE A PRESCRIÇÃO, INCLUSIVE QUANDO CONFIRMATÓRIO DA SENTENÇA DE 1º GRAU, SEJA MANTENDO, REDUZINDO OU AUMENTANDO A PENA ANTERIORMENTE IMPOSTA"", NOS TERMOS DO VOTO DO RELATOR, VENCIDOS OS MINISTROS RICARDO LEWANDOWSKI, GILMAR MENDES E CELSO DE MELLO. PLENÁRIO, SESSÃO VIRTUAL DE 17.4.2020 A 24.4.2020.",0,0,1,1,1,1,-1,1,1,-1,1,1,-1,0,0,0,0,0,0,0,0
HC 173866 AgR-ED,2020-04-27,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, REJEITOU OS EMBARGOS DE DECLARAÇÃO, NOS TERMOS DO VOTO DO RELATOR, MINISTRO DIAS TOFFOLI (PRESIDENTE). PLENÁRIO, SESSÃO VIRTUAL DE 17.4.2020 A 24.4.2020.",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
HC 180159 AgR,2020-04-20,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, MINISTRO DIAS TOFFOLI (PRESIDENTE). NÃO PARTICIPOU DESTE JULGAMENTO, POR MOTIVO DE LICENÇA MÉDICA NO INÍCIO DA SESSÃO, O MINISTRO CELSO DE MELLO (ART. 2º, § 5º, DA RES. 642/2019). PLENÁRIO, SESSÃO VIRTUAL DE 10.4.2020 A 17.4.2020.",0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 181626 AgR,2020-04-15,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR. NÃO PARTICIPOU DESTE JULGAMENTO, POR MOTIVO DE LICENÇA MÉDICA NO INÍCIO DA SESSÃO, O MINISTRO CELSO DE MELLO (ART. 2º, § 5º, DA RES. 642/2019). PLENÁRIO, SESSÃO VIRTUAL DE 3.4.2020 A 14.4.2020.",0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 180720 AgR,2020-04-03,Sim,,10,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR. NÃO PARTICIPOU DESTE JULGAMENTO, POR MOTIVO DE LICENÇA MÉDICA, O MINISTRO CELSO DE MELLO. PLENÁRIO, SESSÃO VIRTUAL DE 27.3.2020 A 2.4.2020.",0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 173866 AgR,2020-02-21,Não,,9,1,AgR,"O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, MINISTRO DIAS TOFFOLI (PRESIDENTE), VENCIDO O MINISTRO MARCO AURÉLIO. NÃO PARTICIPOU DESTE JULGAMENTO, POR MOTIVO DE LICENÇA MÉDICA, O MINISTRO CELSO DE MELLO. PLENÁRIO, SESSÃO VIRTUAL DE 14.2.2020 A 20.2.2020.",0,0,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0,0
HC 173543 AgR-ED,2019-12-20,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, REJEITOU OS EMBARGOS DE DECLARAÇÃO, NOS TERMOS DO VOTO DO RELATOR, MINISTRO DIAS TOFFOLI (PRESIDENTE). PLENÁRIO, SESSÃO VIRTUAL DE 13.12.2019 A 19.12.2019.",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
HC 162285 AgR,2019-12-19,Não,,6,2,AgR," O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, VENCIDOS OS MINISTROS MARCO AURÉLIO E RICARDO LEWANDOWSKI. NÃO PARTICIPOU DESTA VOTAÇÃO O MINISTRO EDSON FACHIN. AUSENTES, JUSTIFICADAMENTE, OS MINISTROS CELSO DE MELLO E CÁRMEN LÚCIA. PRESIDÊNCIA DO MINISTRO DIAS TOFFOLI. PLENÁRIO, 19.12.2019.",0,0,1,1,1,0,1,0,1,-1,1,-1,0,0,0,0,0,0,0,0,0
HC 172996 AgR,2019-11-29,Não,,9,1,AgR,"O TRIBUNAL, POR MAIORIA, CONHECEU DO AGRAVO REGIMENTAL E NEGOU-LHE PROVIMENTO, NOS TERMOS DO VOTO DA RELATORA, VENCIDO O MINISTRO MARCO AURÉLIO. IMPEDIDA A MINISTRA CÁRMEN LÚCIA. PLENÁRIO, SESSÃO VIRTUAL DE 22.11.2019 A 28.11.2019.",0,0,1,1,1,1,1,0,1,1,1,-1,1,0,0,0,0,0,0,0,0
HC 129129,2019-10-18,Não,,10,1,Principal," O TRIBUNAL, POR MAIORIA, CONHECEU DO HABEAS CORPUS E, NO MÉRITO, CONCEDEU PARCIALMENTE A ORDEM, PARA CONFIRMAR A MEDIDA LIMINAR ANTERIORMENTE DEFERIDA, NOS TERMOS DO VOTO DA RELATORA, VENCIDO O MINISTRO CELSO DE MELLO, QUE INDEFERIA O PEDIDO DE HABEAS CORPUS. PLENÁRIO, SESSÃO VIRTUAL DE 11.10.2019 A 17.10.2019.",0,0,1,1,1,1,1,1,1,1,1,1,-1,0,0,0,0,0,0,0,0
HC 167105 AgR,2019-09-13,Não,,10,1,AgR,"O TRIBUNAL, POR MAIORIA, CONHECEU DO AGRAVO REGIMENTAL E NEGOU-LHE PROVIMENTO, NOS TERMOS DO VOTO DA RELATORA, VENCIDO O MINISTRO MARCO AURÉLIO. PLENÁRIO, SESSÃO VIRTUAL DE 6.9.2019 A 12.9.2019.",0,0,1,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0
HC 171728 AgR,2019-06-28,Não,,10,1,AgR,"O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO MARCO AURÉLIO. PLENÁRIO, SESSÃO VIRTUAL DE 21.6.2019 A 27.6.2019.",0,0,1,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0
HC 167682 AgR,2019-06-24,Não,,9,1,AgR,"O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO MARCO AURÉLIO. IMPEDIDO O MINISTRO EDSON FACHIN. PLENÁRIO, SESSÃO VIRTUAL DE 14.6.2019 A 21.6.2019.",0,0,1,1,1,0,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0
HC 170464 AgR,2019-06-14,Não,,10,1,AgR,"O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, MINISTRO DIAS TOFFOLI (PRESIDENTE), VENCIDO O MINISTRO MARCO AURÉLIO. PLENÁRIO, SESSÃO VIRTUAL DE 7.6.2019 A 13.6.2019.",0,0,1,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0
HC 148879 AgR-EDv-AgR,2019-06-07,Não,,10,1,AgR,"O TRIBUNAL, POR MAIORIA, CONHECEU DO AGRAVO REGIMENTAL E NEGOU-LHE PROVIMENTO, NOS TERMOS DO VOTO DA RELATORA, VENCIDO O MINISTRO MARCO AURÉLIO. PLENÁRIO, SESSÃO VIRTUAL DE 31.5.2019 A 6.6.2019.",0,0,1,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0
HC 169066 AgR,2019-05-10,Não,,10,1,AgR,"O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, MINISTRO DIAS TOFFOLI (PRESIDENTE), VENCIDO O MINISTRO MARCO AURÉLIO. PLENÁRIO, SESSÃO VIRTUAL DE 3.5.2019 A 9.5.2019.",0,0,1,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0
HC 167855 AgR,2019-04-29,Não,,10,1,AgR,"O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO, NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO MARCO AURÉLIO. PLENÁRIO, SESSÃO VIRTUAL DE 19.4.2019 A 26.4.2019.",0,0,1,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0
HC 155271 AgR,2019-04-12,Não,,10,1,AgR,"O TRIBUNAL, POR MAIORIA, NEGOU PROVIMENTO AO AGRAVO, NOS TERMOS DO VOTO DO RELATOR, VENCIDO O MINISTRO MARCO AURÉLIO. PLENÁRIO, SESSÃO VIRTUAL DE 5.4.2019 A 11.4.2019.",0,0,1,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0
HC 156003 AgR,2019-03-22,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DA RELATORA. PLENÁRIO, SESSÃO VIRTUAL DE 15.3.2019 A 21.3.2019.",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
HC 167462 AgR,2019-03-12,Sim,,11,0,AgR,"O TRIBUNAL, POR UNANIMIDADE, NEGOU PROVIMENTO AO AGRAVO REGIMENTAL, NOS TERMOS DO VOTO DO RELATOR, MINISTRO DIAS TOFFOLI (PRESIDENTE). PLENÁRIO, SESSÃO VIRTUAL DE 1.3.2019 A 11.3.2019.",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
HC 166330 ED,2019-03-01,Não,,10,1,ED,"O TRIBUNAL, POR MAIORIA, CONVERTEU OS EMBARGOS DE DECLARAÇÃO EM AGRAVO REGIMENTAL E NEGOU-LHE PROVIMENTO, NOS TERMOS DO VOTO DO RELATOR, MINISTRO DIAS TOFFOLI (PRESIDENTE), VENCIDO O MINISTRO MARCO AURÉLIO. PLENÁRIO, SESSÃO VIRTUAL DE 22.2.2019 A 28.2.2019.",0,0,1,1,1,1,1,1,1,1,1,-1,1,0,0,0,0,0,0,0,0
HC 127520,2018-12-06,Sim,,8,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU PREJUDICADO O HABEAS CORPUS, TORNANDO INSUBSISTENTE A LIMINAR IMPLEMENTADA, NOS TERMOS DO VOTO DO RELATOR. NÃO PARTICIPOU, JUSTIFICADAMENTE, DESTE JULGAMENTO, O MINISTRO GILMAR MENDES. AUSENTES, JUSTIFICADAMENTE, OS MINISTROS CELSO DE MELLO E CÁRMEN LÚCIA. PRESIDÊNCIA DO MINISTRO DIAS TOFFOLI. PLENÁRIO, 6.12.2018.",0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
HC 154351,2018-12-06,Sim,,8,0,Principal,"O TRIBUNAL, POR UNANIMIDADE, JULGOU PREJUDICADO O HABEAS CORPUS, NOS TERMOS DO VOTO DO RELATOR. NÃO PARTICIPOU, JUSTIFICADAMENTE, DESTE JULGAMENTO, O MINISTRO GILMAR MENDES. AUSENTES, JUSTIFICADAMENTE, OS MINISTROS CELSO DE MELLO E CÁRMEN LÚCIA. PRESIDÊNCIA DO MINISTRO DIAS TOFFOLI. PLENÁRIO, 6.12.2018.",0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
